Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   8.923372e-001     jin =   8.923372e-001
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   1.325500e+001   2.450000e-001   1.000000e+000   7.776452e-002   0.000000e+000   7.776452e-002   8.095638e-003
               2   1.000000e-001   1.325500e+001   2.450000e-001   1.000000e+000   7.852545e-002   0.000000e+000   7.852545e-002   2.452456e-002
               3   1.500000e-001   1.325500e+001   2.450000e-001   1.000000e+000   8.046748e-002   0.000000e+000   8.046748e-002   4.188514e-002
               4   2.000000e-001   1.325500e+001   2.450000e-001   1.000000e+000   8.472538e-002   0.000000e+000   8.472538e-002   6.174207e-002
               5   2.500000e-001   1.325500e+001   2.450000e-001   1.000000e+000   9.411577e-002   0.000000e+000   9.411577e-002   8.818090e-002
               6   3.000000e-001   1.325500e+001   2.450000e-001   1.000000e+000   1.159026e-001   0.000000e+000   1.159026e-001   1.327258e-001
               7   3.500000e-001   1.325500e+001   2.450000e-001   1.000000e+000   1.717367e-001   0.000000e+000   1.717367e-001   2.324214e-001
               8   4.000000e-001   1.325500e+001   2.450000e-001   1.000000e+000   3.636983e-001   0.000000e+000   3.636983e-001   5.679396e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   8.170682e-001   0.000000e+000   8.170682e-001   7.228378e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.330310e-001   0.000000e+000   9.330310e-001   4.145894e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.639739e-001   0.000000e+000   9.639739e-001   5.606502e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
