Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   8.616440e-001     jin =   8.616440e-001
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   2.205500e+001   2.450000e-001   1.000000e+000   4.541519e-002   0.000000e+000   4.541519e-002   7.866800e-003
               2   1.000000e-001   2.205500e+001   2.450000e-001   1.000000e+000   4.545752e-002   0.000000e+000   4.545752e-002   2.362240e-002
               3   1.500000e-001   2.205500e+001   2.450000e-001   1.000000e+000   4.563854e-002   0.000000e+000   4.563854e-002   3.952744e-002
               4   2.000000e-001   2.205500e+001   2.450000e-001   1.000000e+000   4.622460e-002   0.000000e+000   4.622460e-002   5.604904e-002
               5   2.500000e-001   2.205500e+001   2.450000e-001   1.000000e+000   4.818925e-002   0.000000e+000   4.818925e-002   7.512588e-002
               6   3.000000e-001   2.205500e+001   2.450000e-001   1.000000e+000   5.528965e-002   0.000000e+000   5.528965e-002   1.053497e-001
               7   3.500000e-001   2.205500e+001   2.450000e-001   1.000000e+000   8.435638e-002   0.000000e+000   8.435638e-002   1.899583e-001
               8   4.000000e-001   2.205500e+001   2.450000e-001   1.000000e+000   2.562582e-001   0.000000e+000   2.562582e-001   6.658339e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   7.857032e-001   0.000000e+000   7.857032e-001   6.950900e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.032286e-001   0.000000e+000   9.032286e-001   4.013468e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.344124e-001   0.000000e+000   9.344124e-001   5.434571e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
