Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   8.542696e-001     jin =   8.542696e-001
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   2.645500e+001   2.450000e-001   1.000000e+000   3.780032e-002   0.000000e+000   3.780032e-002   7.854041e-003
               2   1.000000e-001   2.645500e+001   2.450000e-001   1.000000e+000   3.782523e-002   0.000000e+000   3.782523e-002   2.357765e-002
               3   1.500000e-001   2.645500e+001   2.450000e-001   1.000000e+000   3.788044e-002   0.000000e+000   3.788044e-002   3.935344e-002
               4   2.000000e-001   2.645500e+001   2.450000e-001   1.000000e+000   3.808908e-002   0.000000e+000   3.808908e-002   5.539827e-002
               5   2.500000e-001   2.645500e+001   2.450000e-001   1.000000e+000   3.897375e-002   0.000000e+000   3.897375e-002   7.288067e-002
               6   3.000000e-001   2.645500e+001   2.450000e-001   1.000000e+000   4.297801e-002   0.000000e+000   4.297801e-002   9.822830e-002
               7   3.500000e-001   2.645500e+001   2.450000e-001   1.000000e+000   6.364393e-002   0.000000e+000   6.364393e-002   1.719087e-001
               8   4.000000e-001   2.645500e+001   2.450000e-001   1.000000e+000   2.231640e-001   0.000000e+000   2.231640e-001   6.955256e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   7.782098e-001   0.000000e+000   7.782098e-001   6.884608e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   8.960807e-001   0.000000e+000   8.960807e-001   3.981707e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.273175e-001   0.000000e+000   9.273175e-001   5.393307e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
