Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   8.729306e-001     jin =   8.729306e-001
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   1.765500e+001   2.450000e-001   1.000000e+000   5.701417e-002   0.000000e+000   5.701417e-002   7.905702e-003
               2   1.000000e-001   1.765500e+001   2.450000e-001   1.000000e+000   5.721894e-002   0.000000e+000   5.721894e-002   2.380229e-002
               3   1.500000e-001   1.765500e+001   2.450000e-001   1.000000e+000   5.784173e-002   0.000000e+000   5.784173e-002   4.010226e-002
               4   2.000000e-001   1.765500e+001   2.450000e-001   1.000000e+000   5.942953e-002   0.000000e+000   5.942953e-002   5.768434e-002
               5   2.500000e-001   1.765500e+001   2.450000e-001   1.000000e+000   6.376425e-002   0.000000e+000   6.376425e-002   7.957513e-002
               6   3.000000e-001   1.765500e+001   2.450000e-001   1.000000e+000   7.629971e-002   0.000000e+000   7.629971e-002   1.163786e-001
               7   3.500000e-001   1.765500e+001   2.450000e-001   1.000000e+000   1.169256e-001   0.000000e+000   1.169256e-001   2.107708e-001
               8   4.000000e-001   1.765500e+001   2.450000e-001   1.000000e+000   3.004797e-001   0.000000e+000   3.004797e-001   6.249770e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   7.972155e-001   0.000000e+000   7.972155e-001   7.052746e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.141795e-001   0.000000e+000   9.141795e-001   4.062128e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.452839e-001   0.000000e+000   9.452839e-001   5.497800e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
